Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",25.100000,17.750000,180.000000,bottom
"C1","DNI","C_Disc_D5.0mm_W2.5mm_P2.50mm",21.950000,43.550000,0.000000,top
"C2","10uF","CP_Radial_D5.0mm_P2.50mm",46.750000,41.800000,-90.000000,top
"C3","10uF","CP_Radial_D5.0mm_P2.50mm",46.150000,3.200000,180.000000,top
"C4","DNI","C_Disc_D5.0mm_W2.5mm_P2.50mm",24.400000,57.250000,0.000000,top
"C5","10uF","CP_Radial_D5.0mm_P2.50mm",17.000000,44.000000,-90.000000,top
"C6","10uF","CP_Radial_D5.0mm_P2.50mm",16.950000,35.800000,-90.000000,top
"C7","100nF","C_Disc_D5.0mm_W2.5mm_P2.50mm",18.500000,56.850000,-90.000000,top
"C8","10uF","CP_Radial_D5.0mm_P2.50mm",34.900000,67.750000,-90.000000,top
"C9","10uF","CP_Radial_D5.0mm_P2.50mm",33.650000,45.200000,0.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",19.050000,1.850000,90.000000,top
"J2","PJ-644F","Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal",34.000000,26.850000,0.000000,top
"J3","PJ-644F","Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal",17.200000,10.600000,180.000000,top
"J4","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",25.750000,68.250000,0.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",36.830000,1.850000,90.000000,top
"J6","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",11.430000,1.850000,90.000000,top
"R1","8K2","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",18.700000,39.200000,0.000000,top
"R2","10K","Potentiometer_Bourns_PTV09A-1",45.650000,44.850000,90.000000,top
"R3","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",39.200000,62.150000,0.000000,top
"R4","100r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",43.400000,7.250000,180.000000,top
"R5","1M","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",32.200000,32.850000,0.000000,top
"R6","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",21.050000,60.800000,0.000000,top
"R7","10K","Potentiometer_Bourns_PTV09A-1",10.950000,44.900000,90.000000,top
"R8","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",13.350000,39.750000,180.000000,top
"R9","100r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",3.150000,36.250000,0.000000,top
"R10","DNI","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",3.150000,32.800000,0.000000,top
"R11","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",42.400000,39.250000,180.000000,top
"R12","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",32.250000,36.050000,0.000000,top
"TP1","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",45.500000,34.050000,0.000000,top
"TP2","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",20.950000,32.550000,0.000000,top
"TP3","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",41.400000,67.550000,0.000000,top
"TP4","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",47.000000,72.650000,0.000000,top
"TP5","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",47.000000,67.600000,0.000000,top
"U1","TL072","DIP-8_W7.62mm",21.850000,46.650000,90.000000,top
